          Teff = 3500 K,  log g = 0.0,  [M/H] = -5.0

               270   88    0.626 (0.0116)    0.648  0.033 (0.0025)    0.577  0.082 (0.0010)
               290   89    0.628 (0.0114)    0.650  0.033 (0.0023)    0.579  0.082 (0.0007)
               310   90    0.630 (0.0116)    0.653  0.035 (0.0019)    0.578  0.087 (0.0004)
               330   91    0.625 (0.0127)    0.650  0.038 (0.0019)    0.568  0.095 (0.0002)
 CaII triplet  858   92    0.393 (0.1129)    0.636  0.364 (0.0051)   -0.153  0.911 (0.0202)
 WIRE  Johnson V+R   93    0.522 (0.0607)    0.660  0.208 (0.0059)    0.210  0.520 (0.0159)
               LUT   94    0.604 (0.0220)    0.652  0.071 (0.0006)    0.498  0.178 (0.0028)
              TESS   95    0.431 (0.0956)    0.639  0.311 (0.0033)   -0.035  0.778 (0.0173)


          Teff = 3500 K,  log g = 1.5,  [M/H] = -5.0

 bolometric           0    0.263 (0.1121)    0.482  0.328 (0.0178)   -0.229  0.821 (0.0034)
 Stromgren      u     1    0.624 (0.0130)    0.648  0.036 (0.0029)    0.570  0.091 (0.0012)
                v     2    0.628 (0.0107)    0.647  0.028 (0.0034)    0.586  0.070 (0.0021)
                b     3    0.617 (0.0151)    0.649  0.048 (0.0016)    0.546  0.119 (0.0010)
                y     4    0.584 (0.0326)    0.662  0.117 (0.0047)    0.409  0.292 (0.0099)
 Johnson        U     5    0.626 (0.0121)    0.647  0.032 (0.0032)    0.577  0.081 (0.0017)
                B     6    0.617 (0.0156)    0.650  0.050 (0.0015)    0.543  0.124 (0.0012)
                V     7    0.572 (0.0384)    0.664  0.137 (0.0055)    0.367  0.342 (0.0118)
                R     8    0.451 (0.0919)    0.658  0.309 (0.0074)   -0.013  0.773 (0.0222)
                I     9    0.331 (0.1304)    0.599  0.403 (0.0097)   -0.274  1.008 (0.0140)
                J    10    0.206 (0.1368)    0.455  0.372 (0.0353)   -0.352  0.931 (0.0175)
                K    11    0.208 (0.0912)    0.391  0.274 (0.0105)   -0.203  0.686 (0.0039)
                L    12    0.130 (0.0813)    0.284  0.231 (0.0162)   -0.215  0.576 (0.0057)
                M    13    0.113 (0.0682)    0.244  0.195 (0.0126)   -0.180  0.488 (0.0037)
                N    14    0.066 (0.0529)    0.159  0.139 (0.0158)   -0.143  0.348 (0.0091)
 Cousins        Rc   15    0.484 (0.0787)    0.664  0.270 (0.0086)    0.079  0.676 (0.0216)
                Ic   16    0.382 (0.1184)    0.638  0.383 (0.0057)   -0.192  0.958 (0.0219)
 Bessell        UX   17    0.625 (0.0122)    0.647  0.033 (0.0032)    0.576  0.082 (0.0017)
 Bessell        BX   18    0.617 (0.0158)    0.650  0.050 (0.0015)    0.542  0.125 (0.0012)
 Bessell        B    19    0.617 (0.0156)    0.650  0.049 (0.0015)    0.543  0.123 (0.0011)
 Bessell        V    20    0.572 (0.0386)    0.664  0.138 (0.0056)    0.366  0.344 (0.0119)
 Bessell        R    21    0.482 (0.0797)    0.664  0.273 (0.0085)    0.072  0.683 (0.0216)
 Bessell        I    22    0.372 (0.1214)    0.631  0.389 (0.0056)   -0.212  0.973 (0.0205)
 Tycho         TyB   23    0.624 (0.0122)    0.648  0.035 (0.0027)    0.572  0.087 (0.0011)
               TyV   24    0.581 (0.0341)    0.661  0.121 (0.0044)    0.399  0.302 (0.0100)
 Hipparchos    HIP   25    0.534 (0.0551)    0.661  0.190 (0.0056)    0.250  0.475 (0.0147)
 KEPLER              26    0.463 (0.0857)    0.653  0.286 (0.0055)    0.034  0.715 (0.0192)
 COROT SIS           27    0.439 (0.0932)    0.643  0.305 (0.0037)   -0.019  0.763 (0.0178)
 COROT EXO           28    0.436 (0.0944)    0.642  0.309 (0.0037)   -0.027  0.773 (0.0179)
 Geneva         U    29    0.624 (0.0129)    0.648  0.036 (0.0029)    0.571  0.090 (0.0013)
                B    30    0.623 (0.0128)    0.648  0.037 (0.0025)    0.567  0.093 (0.0008)
                B1   31    0.625 (0.0121)    0.647  0.033 (0.0031)    0.576  0.083 (0.0015)
                B2   32    0.621 (0.0135)    0.648  0.041 (0.0022)    0.560  0.102 (0.0004)
                V    33    0.577 (0.0363)    0.663  0.130 (0.0053)    0.382  0.324 (0.0112)
                V1   34    0.586 (0.0316)    0.661  0.113 (0.0043)    0.417  0.282 (0.0093)
                G    35    0.557 (0.0459)    0.667  0.165 (0.0075)    0.310  0.412 (0.0152)
 Vilnius        U    36    0.624 (0.0131)    0.649  0.037 (0.0028)    0.569  0.092 (0.0012)
                P    37    0.626 (0.0119)    0.647  0.032 (0.0033)    0.578  0.080 (0.0018)
                X    38    0.627 (0.0113)    0.647  0.030 (0.0033)    0.582  0.075 (0.0019)
                Y    39    0.617 (0.0154)    0.650  0.049 (0.0015)    0.544  0.122 (0.0011)
                Z    40    0.602 (0.0238)    0.658  0.083 (0.0023)    0.478  0.208 (0.0057)
                V    41    0.585 (0.0321)    0.662  0.115 (0.0045)    0.414  0.286 (0.0096)
                S    42    0.496 (0.0750)    0.670  0.262 (0.0103)    0.102  0.655 (0.0229)
 Milone         iz   43    0.255 (0.1424)    0.528  0.409 (0.0254)   -0.359  1.023 (0.0086)
                iJ   44    0.201 (0.1366)    0.446  0.368 (0.0371)   -0.352  0.921 (0.0194)
                iH   45    0.192 (0.1304)    0.430  0.358 (0.0324)   -0.345  0.895 (0.0153)
                iK   46    0.211 (0.0852)    0.384  0.260 (0.0082)   -0.179  0.650 (0.0053)
 YMS94         iz    47    0.255 (0.1424)    0.528  0.409 (0.0254)   -0.359  1.023 (0.0086)
               iJ    48    0.201 (0.1366)    0.446  0.368 (0.0371)   -0.352  0.921 (0.0194)
               iH    49    0.192 (0.1304)    0.430  0.358 (0.0324)   -0.345  0.894 (0.0153)
               iK    50    0.211 (0.0852)    0.384  0.260 (0.0081)   -0.179  0.650 (0.0053)
               iL    51    0.125 (0.0784)    0.274  0.223 (0.0154)   -0.208  0.557 (0.0053)
               iLp   52    0.122 (0.0749)    0.265  0.214 (0.0139)   -0.199  0.536 (0.0044)
               iM    53    0.119 (0.0695)    0.252  0.199 (0.0127)   -0.180  0.499 (0.0036)
               in    54    0.066 (0.0533)    0.160  0.140 (0.0159)   -0.144  0.351 (0.0092)
               iN    55    0.062 (0.0506)    0.150  0.132 (0.0159)   -0.136  0.329 (0.0096)
 Sloan DSS      u    56    0.625 (0.0125)    0.648  0.034 (0.0031)    0.574  0.086 (0.0015)
                g    57    0.606 (0.0217)    0.655  0.074 (0.0015)    0.494  0.186 (0.0045)
                r    58    0.515 (0.0658)    0.669  0.232 (0.0094)    0.168  0.579 (0.0205)
                i    59    0.400 (0.1125)    0.645  0.368 (0.0062)   -0.153  0.921 (0.0229)
                z    60    0.309 (0.1364)    0.585  0.414 (0.0134)   -0.313  1.036 (0.0118)
 HST STIS Ly_alpha   61    0.635 (0.0124)    0.660  0.036 (0.0024)    0.581  0.091 (0.0007)
            Fclear   62    0.681 (0.0099)    0.653 -0.042 (0.0072)    0.743 -0.104 (0.0091)
             Fsrf2   63    0.683 (0.0106)    0.653 -0.044 (0.0073)    0.750 -0.111 (0.0094)
              Fqtz   64    0.676 (0.0084)    0.653 -0.035 (0.0067)    0.729 -0.088 (0.0084)
              CIII   65    0.633 (0.0110)    0.654  0.031 (0.0026)    0.587  0.077 (0.0011)
              MgII   66    0.625 (0.0138)    0.653  0.042 (0.0017)    0.561  0.105 (0.0004)
            Nclear   67    0.625 (0.0132)    0.651  0.039 (0.0023)    0.567  0.097 (0.0005)
             Nsrf2   68    0.619 (0.0157)    0.652  0.049 (0.0014)    0.545  0.123 (0.0011)
              Nqtz   69    0.624 (0.0140)    0.652  0.042 (0.0019)    0.561  0.106 (0.0003)
             cn182   70    0.626 (0.0117)    0.648  0.032 (0.0031)    0.579  0.080 (0.0016)
             cn270   71    0.624 (0.0132)    0.650  0.039 (0.0021)    0.565  0.098 (0.0003)
            Oclear   72    0.419 (0.0996)    0.633  0.322 (0.0030)   -0.064  0.804 (0.0164)
         Oclear-lp   73    0.402 (0.1068)    0.631  0.344 (0.0034)   -0.114  0.860 (0.0175)
             [OII]   74    0.627 (0.0114)    0.647  0.030 (0.0033)    0.582  0.075 (0.0019)
            [OIII]   75    0.609 (0.0202)    0.655  0.068 (0.0013)    0.507  0.170 (0.0035)
 2MASS          J    76    0.203 (0.1368)    0.449  0.370 (0.0365)   -0.353  0.925 (0.0188)
 2MASS          H    77    0.192 (0.1290)    0.429  0.355 (0.0317)   -0.340  0.887 (0.0146)
 2MASS          Ks   78    0.211 (0.0883)    0.390  0.268 (0.0091)   -0.191  0.669 (0.0049)
 SWASP               79    0.533 (0.0571)    0.666  0.200 (0.0075)    0.233  0.500 (0.0170)
 MOST                80    0.514 (0.0652)    0.665  0.226 (0.0077)    0.176  0.565 (0.0185)
 GAIA (2006)    G    81    0.450 (0.0893)    0.646  0.294 (0.0041)    0.009  0.736 (0.0179)
 GAIA (2010)    G    82    0.434 (0.0957)    0.642  0.313 (0.0038)   -0.036  0.783 (0.0181)
 GAIA (2010)    BP   83    0.544 (0.0521)    0.666  0.184 (0.0072)    0.268  0.459 (0.0159)
 GAIA (2010)    RP   84    0.377 (0.1171)    0.627  0.375 (0.0047)   -0.185  0.936 (0.0185)
 GAIA (2010)  G_RV   85    0.335 (0.1321)    0.609  0.411 (0.0089)   -0.282  1.028 (0.0165)
 Milone        230   86    0.635 (0.0131)    0.661  0.039 (0.0023)    0.577  0.097 (0.0005)
               250   87    0.629 (0.0126)    0.654  0.038 (0.0020)    0.572  0.094 (0.0003)
               270   88    0.624 (0.0131)    0.650  0.039 (0.0021)    0.565  0.097 (0.0003)
               290   89    0.624 (0.0139)    0.652  0.042 (0.0019)    0.561  0.105 (0.0003)
               310   90    0.625 (0.0151)    0.656  0.046 (0.0016)    0.555  0.116 (0.0007)
               330   91    0.621 (0.0146)    0.650  0.043 (0.0022)    0.557  0.108 (0.0006)
 CaII triplet  858   92    0.336 (0.1318)    0.610  0.411 (0.0088)   -0.280  1.027 (0.0167)
 WIRE  Johnson V+R   93    0.473 (0.0824)    0.659  0.279 (0.0069)    0.055  0.697 (0.0203)
               LUT   94    0.596 (0.0259)    0.652  0.084 (0.0004)    0.470  0.210 (0.0038)
              TESS   95    0.378 (0.1150)    0.622  0.366 (0.0047)   -0.171  0.915 (0.0167)


          Teff = 3500 K,  log g = 2.0,  [M/H] = -5.0

 bolometric           0    0.265 (0.1017)    0.468  0.304 (0.0129)   -0.191  0.760 (0.0034)
 Stromgren      u     1    0.625 (0.0126)    0.646  0.032 (0.0039)    0.576  0.081 (0.0024)
                v     2    0.633 (0.0085)    0.646  0.019 (0.0039)    0.604  0.048 (0.0030)
                b     3    0.614 (0.0171)    0.652  0.057 (0.0012)    0.528  0.143 (0.0027)
                y     4    0.569 (0.0406)    0.667  0.147 (0.0071)    0.349  0.367 (0.0138)
 Johnson        U     5    0.628 (0.0108)    0.645  0.026 (0.0041)    0.589  0.064 (0.0029)
                B     6    0.615 (0.0171)    0.652  0.057 (0.0012)    0.530  0.142 (0.0025)
                V     7    0.557 (0.0465)    0.668  0.167 (0.0075)    0.307  0.417 (0.0153)
                R     8    0.429 (0.1016)    0.655  0.338 (0.0072)   -0.078  0.846 (0.0232)
                I     9    0.312 (0.1363)    0.590  0.416 (0.0124)   -0.312  1.041 (0.0128)
                J    10    0.206 (0.1377)    0.458  0.379 (0.0333)   -0.362  0.947 (0.0155)
                K    11    0.181 (0.0343)    0.253  0.108 (0.0056)    0.020  0.269 (0.0041)
                L    12    0.144 (0.0400)    0.231  0.131 (0.0020)   -0.052  0.327 (0.0064)
                M    13    0.122 (0.0300)    0.187  0.097 (0.0030)   -0.023  0.241 (0.0038)
                N    14    0.089 (0.0424)    0.176  0.130 (0.0034)   -0.106  0.326 (0.0036)
 Cousins        Rc   15    0.462 (0.0889)    0.664  0.303 (0.0089)    0.008  0.757 (0.0235)
                Ic   16    0.360 (0.1266)    0.630  0.404 (0.0064)   -0.245  1.009 (0.0208)
 Bessell        UX   17    0.628 (0.0110)    0.645  0.026 (0.0041)    0.588  0.066 (0.0029)
 Bessell        BX   18    0.614 (0.0173)    0.653  0.057 (0.0012)    0.528  0.144 (0.0026)
 Bessell        B    19    0.615 (0.0170)    0.652  0.056 (0.0012)    0.531  0.140 (0.0024)
 Bessell        V    20    0.557 (0.0467)    0.668  0.168 (0.0076)    0.305  0.419 (0.0154)
 Bessell        R    21    0.460 (0.0898)    0.663  0.305 (0.0088)    0.002  0.763 (0.0235)
 Bessell        I    22    0.350 (0.1291)    0.622  0.408 (0.0070)   -0.262  1.020 (0.0193)
 Tycho         TyB   23    0.626 (0.0116)    0.648  0.033 (0.0027)    0.576  0.083 (0.0011)
               TyV   24    0.567 (0.0412)    0.666  0.148 (0.0064)    0.346  0.369 (0.0133)
 Hipparchos    HIP   25    0.520 (0.0624)    0.663  0.215 (0.0064)    0.198  0.537 (0.0167)
 KEPLER              26    0.444 (0.0938)    0.651  0.311 (0.0054)   -0.022  0.777 (0.0200)
 COROT SIS           27    0.421 (0.1007)    0.640  0.327 (0.0037)   -0.070  0.818 (0.0182)
 COROT EXO           28    0.418 (0.1019)    0.639  0.331 (0.0037)   -0.078  0.828 (0.0183)
 Geneva         U    29    0.625 (0.0124)    0.646  0.032 (0.0039)    0.577  0.079 (0.0024)
                B    30    0.624 (0.0125)    0.649  0.037 (0.0023)    0.568  0.093 (0.0007)
                B1   31    0.628 (0.0104)    0.646  0.026 (0.0036)    0.589  0.066 (0.0023)
                B2   32    0.620 (0.0142)    0.650  0.045 (0.0017)    0.553  0.112 (0.0010)
                V    33    0.562 (0.0443)    0.668  0.160 (0.0074)    0.322  0.399 (0.0148)
                V1   34    0.573 (0.0390)    0.667  0.141 (0.0066)    0.361  0.352 (0.0130)
                G    35    0.539 (0.0557)    0.672  0.200 (0.0096)    0.239  0.500 (0.0190)
 Vilnius        U    36    0.624 (0.0128)    0.646  0.033 (0.0038)    0.574  0.083 (0.0023)
                P    37    0.629 (0.0104)    0.645  0.024 (0.0042)    0.592  0.061 (0.0030)
                X    38    0.630 (0.0095)    0.646  0.023 (0.0037)    0.596  0.057 (0.0027)
                Y    39    0.614 (0.0173)    0.652  0.058 (0.0012)    0.526  0.145 (0.0028)
                Z    40    0.593 (0.0289)    0.663  0.104 (0.0044)    0.437  0.261 (0.0090)
                V    41    0.571 (0.0399)    0.667  0.144 (0.0069)    0.354  0.361 (0.0135)
                S    42    0.472 (0.0863)    0.671  0.299 (0.0111)    0.024  0.747 (0.0254)
 Milone         iz   43    0.244 (0.1448)    0.520  0.414 (0.0271)   -0.376  1.034 (0.0097)
                iJ   44    0.199 (0.1376)    0.448  0.374 (0.0355)   -0.363  0.936 (0.0176)
                iH   45    0.226 (0.1018)    0.429  0.305 (0.0122)   -0.231  0.761 (0.0048)
                iK   46    0.173 (0.0281)    0.230  0.086 (0.0066)    0.045  0.214 (0.0043)
 YMS94         iz    47    0.244 (0.1448)    0.520  0.414 (0.0271)   -0.376  1.034 (0.0097)
               iJ    48    0.199 (0.1376)    0.448  0.374 (0.0355)   -0.363  0.936 (0.0176)
               iH    49    0.226 (0.1018)    0.429  0.305 (0.0123)   -0.231  0.762 (0.0048)
               iK    50    0.173 (0.0281)    0.230  0.086 (0.0066)    0.045  0.214 (0.0043)
               iL    51    0.139 (0.0376)    0.221  0.123 (0.0020)   -0.046  0.308 (0.0062)
               iLp   52    0.134 (0.0339)    0.208  0.111 (0.0022)   -0.033  0.278 (0.0056)
               iM    53    0.124 (0.0302)    0.188  0.096 (0.0035)   -0.020  0.240 (0.0035)
               in    54    0.090 (0.0427)    0.178  0.131 (0.0032)   -0.107  0.329 (0.0039)
               iN    55    0.084 (0.0440)    0.172  0.133 (0.0045)   -0.116  0.333 (0.0030)
 Sloan DSS      u    56    0.626 (0.0116)    0.646  0.029 (0.0040)    0.583  0.072 (0.0027)
                g    57    0.598 (0.0258)    0.659  0.091 (0.0031)    0.461  0.229 (0.0070)
                r    58    0.493 (0.0766)    0.671  0.267 (0.0105)    0.092  0.668 (0.0233)
                i    59    0.377 (0.1213)    0.638  0.392 (0.0061)   -0.210  0.979 (0.0223)
                z    60    0.292 (0.1412)    0.574  0.424 (0.0164)   -0.344  1.059 (0.0105)
 HST STIS Ly_alpha   61    0.628 (0.0149)    0.659  0.047 (0.0015)    0.558  0.117 (0.0009)
            Fclear   62    0.734 (0.0237)    0.675 -0.089 (0.0075)    0.867 -0.221 (0.0117)
             Fsrf2   63    0.738 (0.0250)    0.676 -0.093 (0.0077)    0.878 -0.234 (0.0122)
              Fqtz   64    0.727 (0.0212)    0.674 -0.080 (0.0071)    0.847 -0.199 (0.0109)
              CIII   65    0.628 (0.0132)    0.655  0.040 (0.0017)    0.568  0.101 (0.0004)
              MgII   66    0.617 (0.0179)    0.654  0.056 (0.0015)    0.533  0.140 (0.0013)
            Nclear   67    0.622 (0.0146)    0.650  0.042 (0.0026)    0.559  0.106 (0.0007)
             Nsrf2   68    0.615 (0.0178)    0.653  0.057 (0.0012)    0.530  0.142 (0.0017)
              Nqtz   69    0.619 (0.0166)    0.652  0.050 (0.0022)    0.545  0.124 (0.0006)
             cn182   70    0.628 (0.0107)    0.646  0.027 (0.0037)    0.588  0.067 (0.0025)
             cn270   71    0.619 (0.0158)    0.651  0.048 (0.0018)    0.547  0.121 (0.0006)
            Oclear   72    0.402 (0.1066)    0.629  0.342 (0.0036)   -0.111  0.854 (0.0166)
         Oclear-lp   73    0.382 (0.1144)    0.626  0.366 (0.0042)   -0.166  0.914 (0.0175)
             [OII]   74    0.630 (0.0098)    0.644  0.022 (0.0044)    0.598  0.054 (0.0034)
            [OIII]   75    0.602 (0.0242)    0.659  0.086 (0.0030)    0.473  0.215 (0.0066)
 2MASS          J    76    0.201 (0.1378)    0.451  0.376 (0.0349)   -0.363  0.940 (0.0171)
 2MASS          H    77    0.224 (0.0994)    0.422  0.298 (0.0118)   -0.223  0.745 (0.0045)
 2MASS          Ks   78    0.178 (0.0305)    0.241  0.095 (0.0061)    0.036  0.237 (0.0042)
 SWASP               79    0.515 (0.0659)    0.668  0.230 (0.0085)    0.170  0.575 (0.0195)
 MOST                80    0.496 (0.0741)    0.666  0.255 (0.0084)    0.113  0.638 (0.0207)
 GAIA (2006)    G    81    0.432 (0.0968)    0.644  0.317 (0.0040)   -0.043  0.792 (0.0185)
 GAIA (2010)    G    82    0.415 (0.1033)    0.639  0.335 (0.0038)   -0.088  0.838 (0.0185)
 GAIA (2010)    BP   83    0.526 (0.0608)    0.669  0.214 (0.0085)    0.206  0.534 (0.0187)
 GAIA (2010)    RP   84    0.357 (0.1247)    0.620  0.394 (0.0062)   -0.234  0.985 (0.0177)
 GAIA (2010)  G_RV   85    0.315 (0.1381)    0.598  0.424 (0.0119)   -0.320  1.059 (0.0147)
 Milone        230   86    0.626 (0.0159)    0.659  0.050 (0.0014)    0.551  0.125 (0.0011)
               250   87    0.621 (0.0158)    0.654  0.049 (0.0015)    0.548  0.123 (0.0009)
               270   88    0.619 (0.0155)    0.651  0.047 (0.0019)    0.548  0.118 (0.0005)
               290   89    0.618 (0.0166)    0.652  0.050 (0.0021)    0.543  0.125 (0.0006)
               310   90    0.619 (0.0181)    0.655  0.054 (0.0024)    0.538  0.135 (0.0008)
               330   91    0.617 (0.0166)    0.648  0.047 (0.0032)    0.546  0.117 (0.0013)
 CaII triplet  858   92    0.316 (0.1379)    0.599  0.423 (0.0117)   -0.319  1.058 (0.0148)
 WIRE  Johnson V+R   93    0.453 (0.0915)    0.657  0.307 (0.0070)   -0.008  0.767 (0.0217)
               LUT   94    0.593 (0.0270)    0.651  0.087 (0.0006)    0.462  0.218 (0.0037)
              TESS   95    0.359 (0.1222)    0.615  0.385 (0.0063)   -0.218  0.962 (0.0161)


          Teff = 3500 K,  log g = 2.5,  [M/H] = -5.0

 bolometric           0    0.265 (0.0905)    0.448  0.275 (0.0089)   -0.148  0.688 (0.0057)
 Stromgren      u     1    0.625 (0.0120)    0.643  0.027 (0.0051)    0.584  0.068 (0.0038)
                v     2    0.638 (0.0062)    0.643  0.007 (0.0048)    0.628  0.017 (0.0045)
                b     3    0.617 (0.0159)    0.653  0.053 (0.0013)    0.537  0.134 (0.0026)
                y     4    0.570 (0.0412)    0.670  0.150 (0.0078)    0.344  0.376 (0.0146)
 Johnson        U     5    0.630 (0.0093)    0.641  0.017 (0.0054)    0.605  0.042 (0.0046)
                B     6    0.618 (0.0155)    0.653  0.052 (0.0013)    0.541  0.129 (0.0022)
